lat,long,zero_name,first_name,first_type,second_name,second_type,third_name,third_type,zero_type
51.62,0.3,125-97 A1023,Sugar Hut,"['night_club', 'cafe', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",Slug & Lettuce,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Robert Dyas Brentwood,"['home_goods_store', 'convenience_store', 'furniture_store', 'store', 'food', 'point_of_interest', 'establishment']",['route']
51.62,0.29,Brentwood,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.63,0.29,A12,Brentwood,"['locality', 'political']",Na,Na,Na,Na,['route']
51.61,0.26,London Orbital Motorway,Na,Na,Na,Na,Na,Na,['route']
51.62,0.28,Brentwood,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.62,0.31,Brentwood,Brentwood Trampoline Club,"['point_of_interest', 'establishment']",Na,Na,Na,Na,"['locality', 'political']"
51.63,0.3,28-18 Rushdene Rd,Brentwood,"['locality', 'political']",Na,Na,Na,Na,['route']
51.61,0.27,Brook Street,Brentwood,"['locality', 'political']",Na,Na,Na,Na,['route']
51.61,0.28,Brentwood,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.58,0.19,1-9 Sims Cl,A&R House,"['point_of_interest', 'establishment']",Herringbone Driveways,"['general_contractor', 'point_of_interest', 'establishment']",Alzhemiers Society,"['point_of_interest', 'establishment']",['route']
51.6,0.24,Romford,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.57,0.18,Oldchurch Rise,Romford,"['locality', 'political']",Na,Na,Na,Na,['route']
51.58,0.21,1-19 Eugene Cl,Hornchurch,"['locality', 'political']",Na,Na,Na,Na,['route']
51.63,0.33,Brentwood,Shenfield,"['sublocality_level_1', 'sublocality', 'political']",Na,Na,Na,Na,"['locality', 'political']"
51.45,0.24,Dartford,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.5,0.27,South Ockendon,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.59,0.21,2-14 Beaumont Cl,Romford,"['locality', 'political']",Na,Na,Na,Na,['route']
51.49,0.29,Fleming Road,The Oriental Pan Asian Restaurant,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Minibus Hire,"['point_of_interest', 'establishment']",Chafford Hundred Taxis,"['point_of_interest', 'establishment']",['route']
51.65,0.35,Mountnessing,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.6,0.25,53 Harold Ct Rd,Romford,"['locality', 'political']",Na,Na,Na,Na,['route']
51.67,0.38,Meads Close,JBP Connections,"['point_of_interest', 'establishment']",Ingatestone,"['locality', 'political']",Na,Na,['route']
51.59,0.22,Bryant Avenue,Glyn Hopkin Honda Romford,"['car_dealer', 'store', 'point_of_interest', 'establishment']",Bryant Avenue Industrial Estate,"['premise', 'storage', 'point_of_interest', 'establishment']",Romford,"['locality', 'political']",['route']
51.58,0.2,Romford,Cleaver Finishings Ltd,"['store', 'general_contractor', 'point_of_interest', 'establishment']",Na,Na,Na,Na,"['locality', 'political']"
51.64,0.34,Brentwood,Shenfield,"['sublocality_level_1', 'sublocality', 'political']",Na,Na,Na,Na,"['locality', 'political']"
51.64,0.33,Brentwood,Shenfield,"['sublocality_level_1', 'sublocality', 'political']",Na,Na,Na,Na,"['locality', 'political']"
51.51,-0.01,Cotton Street,Cotton Street (Stop CO),"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",London,"['locality', 'political']",Na,Na,['route']
51.57,0.29,Great Warley,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.58,0.22,73-117 Ardleigh Green Rd,Hornchurch,"['locality', 'political']",Na,Na,Na,Na,['route']
51.66,0.37,3-72 Mountney Cl,Ingatestone,"['locality', 'political']",Na,Na,Na,Na,['route']
51.6,0.23,117-119 Camborne Ave,Experts Care Limited,"['health', 'point_of_interest', 'establishment']",Romford,"['locality', 'political']",Na,Na,['route']
51.61,0.29,31-33 Vaughan Williams Way,Ultrastone Resins Ltd,"['general_contractor', 'point_of_interest', 'establishment']",Warley,"['locality', 'political']",Na,Na,['route']
51.49,0.27,Grays,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.59,0.23,29-77 Rosslyn Ave,Zoffelle,"['point_of_interest', 'establishment']",Romford,"['locality', 'political']",Na,Na,['route']
51.64,0.31,Brentwood,Pilgrims Hatch,"['sublocality_level_1', 'sublocality', 'political']",Na,Na,Na,Na,"['locality', 'political']"
51.56,0.25,Waldegrave Gardens,Home Group,"['point_of_interest', 'establishment']",Upminster,"['locality', 'political']",Na,Na,['route']
51.88,0.78,Marks Tey,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.75,0.52,A12,Chelmsford,"['locality', 'political']",Na,Na,Na,Na,['route']
51.59,0.18,129-197 Parkside Ave,Tony Nelson Plumbing & Heating,"['plumber', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",Havering Sports Council,"['point_of_interest', 'establishment']",Telecommunications & It Management Ltd,"['point_of_interest', 'establishment']",['route']
51.72,0.45,Rodney Way,Pillarhouse International Ltd.,"['point_of_interest', 'establishment']",Tel-IT Solutions Limited,"['electronics_store', 'store', 'point_of_interest', 'establishment']",Chelmsford,"['locality', 'political']",['route']
51.62,0.32,79-61 Priests Ln,Brentwood,"['locality', 'political']",Na,Na,Na,Na,['route']
51.48,0.27,Grays,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.68,0.4,Na,Na,Na,Na,Na,Na,Na,Na
